Load_F,q,Displacement
932.2922237130944,960.4293701129952,252.87079167780712
3311.73453380955,3076.286086137032,877.7255204748674
673.8752319051151,642.81563238905,179.63212780814948
4.302898289602158,6.0451554803470495,1.2658169182649623
243.2355626020309,213.76762762499095,63.72052288603446
848.4335095388379,828.1051443608932,227.31300470160872
346.7671870054347,342.21920563854826,93.1363862116547
757.9666123692346,760.6620994869004,204.35195397197737
695.4726268315807,666.5067391385058,185.5783879815845
38.47846048352164,77.12103120054765,12.731497765991094
20.5350761919464,46.40214736971332,7.115596311571291
982.4702425693554,961.8272775143948,263.4015980969512
337.9663589605057,398.5929644468454,94.7558317293407
22.18177948670594,80.03593553027301,9.517590966433051
808.0363523464579,846.0769707976281,220.004116455648
464.28230797267065,415.302415317907,122.07319974030534
680.6841214825988,691.794426694009,184.04819018784764
520.6419720154141,502.00142484081744,139.11331406285055
139.27638501903348,120.5571668735063,36.37327811866656
380.7289451202965,368.1677351379846,101.79466215593835
3082.08243980256,3119.1459697783807,832.5444652106379
1233.8778969427665,1222.2842047681088,331.6817788391948
914.5080722608808,907.5419916805332,245.93078187964457
434.4745751037382,480.8879909914765,119.88376814352162
385.932893678253,357.8309924779176,102.24507128473331
855.0727155349564,874.2598206292953,231.5208400070294
29.18821332264954,68.89650543170612,10.29406718747232
189.48249958245253,131.33013226788336,47.483916174380944
460.7236951360078,460.3981770649193,124.09339227718446
950.9341267175878,978.976942964646,257.88691676353744
753.1186134220677,762.881155648454,203.4786392622541
3975.434065791225,3960.248305437445,1070.0035181098538
287.1598843998861,242.5976153223388,74.62905442542561
773.8378678180604,793.9938765101466,209.6964873729522
3753.542352777295,3477.982408486797,994.2873310977308
373.2645385590033,363.0854942938131,99.92968930986272
895.88604330405,847.3829757772845,238.37115447006457
102.49580821234976,157.41647308657764,30.973605367871443
986.9391278622612,951.3345951949556,263.6894467302027
1945.2816641719207,2124.957244196754,535.0356062682418
8.204627946302072,49.12580308350436,4.715604373526412
502.8671142384415,540.6756116577648,137.78104898378362
614.4740413971177,639.8055759153007,167.08269285707146
